Rk,Name,Age,Tm,IP,G,GS,Wgs,Lgs,ND,Wchp,Ltuf,Wtm,Ltm,tmW-L%,Wlst,Lsv,CG,SHO,QS,QS%,GmScA,Best,Wrst,BQR,BQS,sDR,lDR,RS/GS,RS/IP,IP/GS,Pit/GS,<80,80-99,100-119,≥120,Max,Name-additional
173,Drey Jameson,24,ARI,24.1,4,4,3,0,1,0,0,3,1,0.75,1,0,0,0,3,75%,62.5,77,56,2,0,0,2,4.9,3.4,6.1,92,0,4,0,0,98,jamesdr01
174,Cristian Javier,25,HOU,148.2,30,25,11,8,6,6,3,15,10,0.6,3,2,0,0,11,44%,60.8,89,19,13,1,0,20,3.5,3.7,5.4,93,1,22,2,0,115,javiecr01
175,Daulton Jefferies,26,OAK,39.1,8,8,1,7,0,1,2,1,7,0.125,0,0,0,0,2,25%,44.8,69,25,2,0,0,4,1.9,1.8,4.9,76,4,4,0,0,90,jeffeda01
176,Jakob Junis,29,SFG,112,23,17,3,5,9,1,0,10,7,0.588,2,2,0,0,4,24%,47.9,72,18,16,7,0,10,4.9,5.3,4.9,82,8,8,1,0,101,junisja01
177,Janson Junk,26,LAA,8.1,3,2,1,1,0,1,0,1,1,0.5,0,0,0,0,0,0%,44.5,66,23,1,0,0,2,5.5,4.5,3.7,71,1,1,0,0,86,junkja01
178,James Kaprielian,28,OAK,134,26,26,5,9,12,1,0,13,13,0.5,5,3,0,0,7,27%,49.9,78,8,19,11,0,15,3.8,2.7,5.2,86,7,17,2,0,105,kaprija01
179,Brad Keller,26,KCR,139.2,35,22,6,13,3,1,3,8,14,0.364,1,1,0,0,11,50%,47.1,78,9,24,4,0,14,3.7,2.5,5.6,88,4,17,1,0,105,kellebr01
180,Mitch Keller,26,PIT,159,31,29,4,12,13,2,5,10,19,0.345,3,5,0,0,13,45%,50.6,76,24,15,5,0,18,3.5,3,5.3,88,5,22,2,0,105,kellemi03
181,Joe Kelly,34,CHW,37,43,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0%,41,41,41,16,9,1,0,4.2,0,1,34,1,0,0,0,34,kellyjo05
182,Merrill Kelly,33,ARI,200.1,33,33,13,8,12,2,1,16,17,0.485,5,3,0,0,18,55%,56.5,83,12,7,2,0,16,4.3,4.6,6.1,93,3,25,5,0,106,kellyme01
183,Clayton Kershaw*,34,LAD,126.1,22,22,12,3,7,3,0,15,7,0.682,3,0,0,0,12,55%,60.9,90,20,4,2,0,16,5.7,6.3,5.7,84,6,15,1,0,102,kershcl01
184,Dallas Keuchel*,34,TOT,60.2,14,14,2,9,3,1,0,4,10,0.286,1,0,0,0,2,14%,33.3,59,-2,7,2,0,10,3.9,3.4,4.3,83,4,9,1,0,103,keuchda01
185,Dallas Keuchel*,34,TOT,42,10,10,2,7,1,1,0,3,7,0.3,1,0,0,0,1,10%,32.9,59,-2,5,1,0,8,3.4,2.9,4.2,81,3,6,1,0,103,keuchda01
186,Dallas Keuchel*,34,CHW,32,8,8,2,5,1,1,0,3,5,0.375,1,0,0,0,1,13%,35.8,59,-2,3,0,0,6,3.8,3.2,4,77,3,5,0,0,92,keuchda01
187,Dallas Keuchel*,34,ARI,18.2,4,4,0,2,2,0,0,1,3,0.25,0,0,0,0,1,25%,34.3,55,14,2,1,0,2,5.4,4.7,4.7,89,1,3,0,0,98,keuchda01
188,Dallas Keuchel*,34,TEX,10,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0%,21.5,25,18,2,1,0,2,1.5,1.8,5,100,0,1,1,0,103,keuchda01
189,Yusei Kikuchi*,31,TOR,100.2,32,20,4,7,9,1,0,6,14,0.3,1,5,0,0,3,15%,47.5,73,32,24,4,0,12,4.2,3.6,4.1,76,10,10,0,0,91,kikucyu01
190,Caleb Kilian,25,CHC,11.1,3,3,0,2,1,0,0,0,3,0,0,1,0,0,0,0%,35,53,25,0,0,0,2,3.2,3.8,3.8,78,1,2,0,0,86,kiliaca01
191,George Kirby,24,SEA,130,25,25,8,5,12,3,2,16,9,0.64,2,7,0,0,11,44%,53.5,75,17,10,3,0,14,4.8,4.5,5.2,84,6,18,1,0,100,kirbyge01
192,Corey Kluber,36,TBR,164,31,31,10,10,11,3,2,16,15,0.516,3,5,0,0,15,48%,50.6,77,7,9,1,0,21,4.4,4,5.3,79,11,20,0,0,93,klubeco01
193,Reiss Knehr,25,SDP,13.2,5,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0%,44,44,44,4,0,0,1,3.2,6,3.7,82,0,1,0,0,82,knehrre01
194,Jared Koenig*,28,OAK,39.1,10,5,1,3,1,1,0,2,3,0.4,0,0,0,0,0,0%,41.6,61,21,6,1,0,4,3.3,2.8,5.1,86,1,4,0,0,96,koenija01
195,Michael Kopech,26,CHW,119.1,25,25,5,9,11,3,4,11,14,0.44,3,4,0,0,8,32%,53.6,80,25,12,4,0,16,3.5,2.3,4.8,80,7,17,1,0,100,kopecmi01
196,Dean Kremer,26,BAL,125.1,22,21,8,6,7,4,1,14,7,0.667,1,3,1,1,8,38%,53,83,21,14,4,0,12,3.5,3.3,5.7,88,2,18,1,0,106,kremede01
197,Chad Kuhl,29,COL,137,27,27,6,11,10,1,1,10,17,0.37,0,5,1,1,8,30%,44.5,86,16,26,4,0,18,4,2.9,5.1,88,5,18,4,0,103,kuhlch01
198,Jimmy Lambert,27,CHW,47,42,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0%,46.5,47,46,12,4,0,2,1,0,3.3,61,2,0,0,0,73,lambeji01
199,Eric Lauer*,27,MIL,158.2,29,29,11,7,11,5,3,17,12,0.586,2,4,0,0,13,45%,54.1,75,19,8,0,0,20,4.9,4.2,5.5,92,3,19,7,0,108,lauerer01
200,Evan Lee*,25,WSN,8.2,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0%,44,44,44,3,0,0,1,0,0,3.7,67,1,0,0,0,67,leeev01
201,Mark Leiter Jr.,31,CHC,67.2,35,4,0,2,2,0,0,1,3,0.25,0,0,0,0,0,0%,41.8,51,22,8,1,0,2,4.4,4.2,3.6,68,3,1,0,0,82,leitema02
202,Matthew Liberatore*,22,STL,34.2,9,7,2,2,3,2,0,5,2,0.714,0,0,0,0,0,0%,44.3,64,26,8,3,0,5,4.9,7.5,4.2,82,3,4,0,0,95,liberma01
203,Mauricio Llovera,26,SFG,16.1,17,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0%,54,54,54,3,2,1,0,1,0,1,17,1,0,0,0,17,llovema01
204,Nick Lodolo*,24,CIN,103.1,19,19,4,7,8,2,2,9,10,0.474,2,0,0,0,8,42%,55.4,76,28,9,2,0,12,4.1,4.1,5.4,94,3,10,6,0,107,lodolni01
205,Zach Logue*,26,OAK,57,14,10,2,8,0,1,1,2,8,0.2,0,0,0,0,2,20%,44.3,73,22,8,2,0,5,3.2,3.1,4.9,84,4,5,1,0,107,logueza01
206,Sam Long*,26,SFG,42.1,28,6,0,2,4,0,0,3,3,0.5,0,1,0,0,0,0%,49.5,54,39,5,0,6,0,3.2,6.2,2.1,33,6,0,0,0,48,longsa01
207,Pablo López,26,MIA,180,32,32,10,10,12,2,0,16,16,0.5,3,2,0,0,14,44%,54.4,80,8,19,9,0,18,3.5,3.2,5.6,91,5,22,5,0,110,lopezpa01
208,Reynaldo López,28,CHW,65.1,61,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0%,57,57,57,8,6,1,0,9,0,2,24,1,0,0,0,24,lopezre01
209,Michael Lorenzen,30,LAA,97.2,18,18,8,6,4,2,0,8,10,0.444,2,0,0,0,8,44%,51.9,71,14,12,6,0,18,4.4,4.6,5.4,92,2,12,4,0,103,lorenmi01
